,Momenta 1,Momenta 2,Eta 1,Eta 2,Phi 1,Phi 2
212,112.36,109.367,-0.546,-1.764,-0.949,2.178
213,91.033,82.538,2.167,0.818,0.51,-2.539
214,154.911,149.78,-0.646,-0.412,0.851,-2.282
215,87.411,85.194,-1.954,0.783,-2.768,0.242
216,95.246,83.415,1.076,1.061,2.665,-0.457
217,153.278,151.57,-1.982,-1.282,0.192,-2.735
218,47.406,43.406,-1.092,0.891,-0.45,2.551
219,85.46,77.447,0.567,1.659,-0.068,-3.044
220,178.071,27.755,-1.325,-0.24,-2.379,-1.232
221,111.047,82.696,-0.854,-2.404,1.86,-1.452
222,122.498,69.125,-1.704,0.334,-2.47,-0.645
223,143.142,124.094,-0.05,0.294,-0.214,-1.665
224,28.665,24.229,-1.434,2.342,0.979,-1.617
225,88.578,69.941,0.26,-0.793,-0.168,-3.118
226,93.824,91.26,0.646,0.607,-0.761,2.383
227,158.442,123.618,1.074,0.608,2.254,-0.678
228,105.408,98.842,-0.414,0.255,2.598,-0.39
229,127.521,118.732,1.477,0.852,-1.127,1.958
230,91.746,84.12,1.276,-0.289,2.705,-0.386
231,82.88,77.205,0.019,-0.924,-2.56,0.727
232,120.554,119.952,-0.479,-0.063,0.468,-2.673
233,168.275,93.722,0.464,0.028,0.173,-2.912
234,127.716,93.013,1.93,1.105,1.746,-1.436
235,88.855,85.919,1.005,0.117,-2.233,0.894
236,83.224,76.886,-1.035,1.403,1.576,-1.589
237,91.238,81.295,2.059,0.716,0.381,-2.894
238,117.587,102.25,0.203,0.182,0.006,-3.086
239,134.703,72.284,-0.116,0.512,2.53,-0.245
240,89.242,78.711,-1.396,-2.381,-1.445,2.038
241,110.694,110.604,0.959,1.13,1.902,-1.337
242,98.485,93.671,0.717,-0.211,1.991,-1.069
243,97.127,95.359,-1.236,0.545,1.5,-1.666
244,134.453,122.83,1.03,2.169,-0.19,2.896
245,52.673,47.496,-2.283,0.173,-2.948,0.308
246,147.958,56.418,0.856,1.761,0.72,-3.016
247,79.368,63.93,0.202,-1.448,-2.171,0.963
248,402.982,392.005,-0.148,-0.497,-0.101,3.099
249,172.484,171.862,-2.445,-2.476,0.836,-2.32
250,126.128,102.301,-0.04,0.325,0.322,-2.894
251,218.681,199.43,0.571,1.187,1.304,-2.164
252,97.898,73.036,0.776,1.433,-1.029,2.176
253,111.025,82.646,-0.083,0.234,-2.305,0.541
254,101.227,100.791,-0.594,0.262,-2.394,0.739
255,171.705,134.207,0.487,0.78,-0.805,2.323
256,80.156,58.319,2.05,0.366,-2.795,1.106
257,33.225,22.552,1.575,-2.427,2.013,-0.929
258,202.268,151.15,-2.258,-1.088,0.88,-2.364
259,105.399,91.192,-0.858,-0.302,-2.264,1.571
260,68.733,62.507,-1.45,0.255,-0.611,2.44
261,85.222,79.551,0.579,2.226,-1.035,2.249
262,34.827,31.847,-0.936,2.385,2.279,-0.791
263,94.626,88.851,-1.352,-0.912,3.059,-0.031
264,73.801,52.762,-0.01,2.056,-2.299,0.015
265,104.656,95.374,-1.523,-0.446,2.906,-0.18
266,107.077,105.998,2.366,2.09,-1.87,1.308
267,217.884,107.76,1.399,1.047,1.294,-1.037
268,78.548,71.634,0.903,-0.411,-2.926,0.252
269,68.836,65.966,-0.07,1.732,-0.971,2.18
270,83.537,70.658,0.814,-0.745,-2.455,0.478
271,76.017,71.21,-0.126,-1.361,1.066,-1.986
272,120.163,117.677,-0.208,0.633,0.516,-2.653
273,111.263,111.137,2.067,2.367,-0.046,3.009
274,96.378,94.687,-1.192,1.271,2.658,-0.514
275,145.715,136.079,0.534,0.831,1.451,-1.701
276,147.263,145.15,-1.122,-0.511,0.856,-2.278
277,34.869,29.701,2.108,-0.202,-1.652,1.369
278,123.577,123.02,-1.331,0.003,-1.44,1.524
279,110.299,96.524,0.039,0.585,2.444,-0.565
280,201.218,61.108,2.007,1.709,-1.404,2.316
281,147.291,41.678,-0.128,1.277,-2.818,0.324
282,99.843,89.055,-1.531,-2.225,-1.015,1.832
283,71.779,71.268,-1.472,1.077,0.581,-2.551
284,120.913,102.968,-1.765,-1.491,0.394,-2.714
285,75.715,72.986,2.484,0.019,0.82,-2.235
286,103.794,93.015,-1.679,-1.995,2.148,-0.888
287,46.992,25.838,1.34,-1.94,2.743,0.659
288,116.093,113.629,0.909,0.547,-2.744,0.365
289,116.443,107.104,-1.523,-0.27,1.239,-1.867
290,214.874,176.9,-1.558,-1.376,-0.222,2.384
291,67.243,64.748,-1.151,1.134,3.081,-0.027
292,68.564,62.161,-0.371,1.231,-1.06,2.001
293,201.318,130.004,0.415,-0.171,2.622,0.646
294,78.384,75.401,1.301,2.38,1.851,-1.464
295,103.684,75.438,0.373,1.384,-0.368,2.831
296,72.069,50.157,0.973,-1.53,-1.875,0.994
297,132.776,74.332,0.288,1.548,-0.024,2.641
298,85.294,83.444,0.913,1.744,-0.32,2.829
299,85.936,85.697,0.415,-0.613,-2.107,1.106
300,95.876,91.098,0.912,1.113,2.916,0.165
301,182.275,170.033,-1.534,-2.118,-1.591,1.297
302,110.579,106.182,2.101,1.007,1.5,-1.677
303,81.503,76.226,0.498,2.392,-1.056,1.672
304,194.397,188.383,0.66,1.288,-0.548,2.59
305,171.607,88.707,-0.409,-0.809,-1.919,1.735
306,164.23,118.555,-1.243,-1.087,-1.651,1.654
307,98.804,86.047,1.347,2.262,-0.73,2.393
308,85.683,77.437,0.623,1.429,-0.701,2.245
309,143.952,132.376,-2.15,-1.944,1.43,-1.847
310,88.487,84.2,1.405,-0.005,-0.133,3.015
311,101.711,69.502,2.296,1.291,-0.68,2.259
312,76.549,70.532,1.29,-0.298,2.403,-0.748
