,Momenta,Eta,Phi
157,"[203.025, 197.684]","[0.901, 1.361]","[-1.369, 2.263]"
158,"[118.589, 106.81]","[-1.447, 0.948]","[-2.652, -0.618]"
159,"[237.911, 146.555]","[-1.252, -2.061]","[0.197, -2.707]"
160,"[218.953, 135.689]","[1.43, 0.312]","[0.202, -2.605]"
161,"[177.712, 157.409]","[1.176, -0.083]","[2.553, -0.885]"
162,"[207.419, 191.809]","[1.027, 1.007]","[-1.571, 1.611]"
163,"[232.476, 164.867]","[1.317, 1.147]","[0.044, 3.128]"
164,"[331.849, 179.174]","[-0.799, -1.185]","[1.736, -2.682]"
165,"[241.068, 236.186]","[0.991, 0.689]","[1.467, -2.392]"
166,"[196.747, 187.728]","[0.022, 0.111]","[0.977, -2.229]"
167,"[214.87, 174.791]","[-1.244, -0.551]","[-1.089, 2.622]"
168,"[216.465, 178.054]","[-1.715, -1.363]","[-0.431, 2.57]"
169,"[79.328, 77.278]","[-1.448, 1.408]","[2.086, -1.036]"
170,"[139.969, 120.558]","[-1.69, 0.305]","[-1.226, 1.383]"
171,"[210.177, 207.299]","[-1.0, -0.622]","[-1.207, 2.555]"
172,"[128.93, 121.277]","[-2.147, -0.047]","[1.917, -1.109]"
173,"[206.729, 193.273]","[-0.725, -0.618]","[-1.698, 0.867]"
174,"[171.449, 170.695]","[0.092, 1.208]","[-2.446, 0.363]"
175,"[253.867, 162.619]","[1.463, 1.698]","[-0.922, 1.78]"
176,"[184.071, 174.318]","[1.022, -0.035]","[2.512, -0.52]"
177,"[348.086, 108.207]","[-1.021, -0.141]","[2.587, -1.348]"
178,"[182.775, 157.175]","[-0.413, 0.759]","[1.095, -2.051]"
179,"[216.529, 181.517]","[0.187, -0.219]","[-3.062, 0.186]"
180,"[194.052, 187.79]","[1.091, 0.713]","[-1.413, 1.722]"
181,"[210.63, 181.806]","[0.67, 0.002]","[1.657, -1.394]"
182,"[151.765, 134.405]","[-0.716, 0.713]","[1.798, -1.365]"
183,"[271.561, 209.443]","[0.716, 1.548]","[0.794, 2.422]"
184,"[201.59, 185.464]","[-1.045, 0.127]","[2.122, -1.356]"
185,"[267.373, 58.801]","[-0.506, -1.283]","[-2.341, -0.208]"
186,"[151.612, 123.081]","[-0.624, 1.334]","[2.179, -0.948]"
187,"[158.857, 115.651]","[-0.327, 1.568]","[-2.25, 1.175]"
188,"[123.779, 73.512]","[-0.602, 1.537]","[1.558, -1.141]"
189,"[185.023, 179.984]","[-1.779, -0.998]","[-1.228, 2.094]"
190,"[464.123, 90.947]","[-1.716, -2.07]","[1.027, -2.727]"
191,"[200.681, 194.081]","[-2.045, -2.005]","[2.219, -0.881]"
192,"[273.775, 142.334]","[-0.716, -1.353]","[0.362, -2.589]"
193,"[148.81, 146.592]","[-0.089, 1.548]","[2.847, -0.307]"
194,"[256.975, 166.715]","[-0.912, -0.371]","[0.816, -1.555]"
195,"[209.579, 177.309]","[-0.757, -1.342]","[-2.244, 0.691]"
196,"[190.084, 178.471]","[0.337, -0.333]","[-1.14, 1.872]"
197,"[213.513, 190.854]","[-0.153, -0.536]","[-1.509, 1.439]"
198,"[208.833, 189.538]","[0.598, 1.279]","[2.539, -0.955]"
199,"[209.746, 129.831]","[-1.403, -0.091]","[-1.512, 2.219]"
200,"[214.678, 171.719]","[0.56, 1.629]","[0.261, 2.567]"
201,"[257.07, 199.491]","[0.195, 0.041]","[0.769, -2.336]"
202,"[263.262, 177.444]","[1.165, 0.86]","[1.514, -1.492]"
203,"[353.287, 184.359]","[-1.198, -1.522]","[3.103, 0.745]"
204,"[488.466, 99.407]","[-1.409, -1.41]","[1.127, -1.144]"
205,"[334.115, 112.473]","[0.219, 1.003]","[-0.73, 2.37]"
206,"[254.06, 68.509]","[1.101, -0.728]","[-0.867, 2.618]"
207,"[83.59, 72.273]","[2.126, -1.081]","[1.796, -1.184]"
208,"[170.295, 168.772]","[0.057, 1.167]","[1.382, -1.696]"
209,"[296.167, 225.954]","[1.392, 1.814]","[-0.664, 2.338]"
210,"[204.367, 173.011]","[1.671, 2.421]","[0.263, -2.879]"
211,"[220.52, 188.977]","[-1.245, -0.851]","[0.735, -2.274]"
212,"[329.899, 125.434]","[-0.744, 0.216]","[2.205, 0.186]"
213,"[291.431, 286.27]","[-0.301, 0.502]","[0.579, -2.628]"
214,"[232.536, 230.563]","[0.56, 0.091]","[-2.285, 0.916]"
215,"[199.639, 126.559]","[-0.38, 1.078]","[1.668, -2.23]"
216,"[194.411, 191.458]","[-1.557, -0.802]","[1.106, -2.06]"
217,"[152.89, 119.832]","[-2.188, -0.343]","[2.993, -0.924]"
218,"[292.897, 171.504]","[-1.095, -0.664]","[0.64, -1.505]"
219,"[193.851, 136.497]","[-1.329, 0.111]","[-1.745, 1.977]"
220,"[244.193, 174.103]","[2.057, 1.957]","[-2.796, 0.834]"
221,"[285.666, 123.171]","[-1.247, -1.985]","[1.427, -1.901]"
222,"[255.886, 158.075]","[0.765, 1.062]","[-0.848, 2.475]"
223,"[239.08, 153.077]","[0.272, 0.924]","[-0.202, 2.949]"
224,"[279.755, 157.971]","[0.652, 0.667]","[-1.771, 1.79]"
225,"[233.8, 224.925]","[-1.272, -0.716]","[0.855, -2.169]"
226,"[199.156, 170.261]","[-0.722, -1.552]","[-0.159, 2.886]"
227,"[221.079, 186.952]","[2.116, 2.279]","[-3.005, -0.342]"
228,"[229.438, 191.495]","[-0.172, -0.403]","[0.861, -1.379]"
229,"[203.315, 152.605]","[0.743, -0.301]","[2.895, -0.448]"
230,"[155.584, 145.96]","[0.251, -1.473]","[-2.638, 0.826]"
231,"[305.119, 128.712]","[1.589, 1.206]","[-2.133, 0.713]"
232,"[254.594, 198.581]","[0.12, -0.429]","[2.689, -0.366]"
233,"[244.759, 171.731]","[0.027, -0.367]","[0.52, -2.012]"
234,"[197.193, 183.125]","[1.213, 0.726]","[1.713, -1.335]"
235,"[196.518, 168.067]","[0.453, -0.586]","[-1.792, 1.551]"
236,"[534.658, 48.237]","[0.836, -1.076]","[-0.305, 0.931]"
237,"[212.696, 193.281]","[-0.928, -0.891]","[-0.188, 2.934]"
238,"[188.742, 161.52]","[-0.974, 0.837]","[-1.45, -0.11]"
239,"[195.99, 186.502]","[1.845, 2.232]","[-0.287, 2.857]"
240,"[196.268, 193.691]","[0.365, 0.007]","[0.666, -2.351]"
241,"[226.808, 175.122]","[0.886, 0.185]","[-0.018, -2.493]"
242,"[322.304, 54.639]","[2.126, -0.191]","[-2.554, -1.611]"
243,"[201.573, 185.385]","[0.04, -0.451]","[0.182, -2.787]"
244,"[340.962, 102.589]","[-0.083, 0.984]","[-2.088, 0.483]"
245,"[432.638, 329.664]","[-0.83, -1.583]","[1.153, -2.203]"
246,"[185.988, 60.655]","[0.306, -2.298]","[1.965, 0.325]"
247,"[230.47, 129.392]","[0.685, -0.458]","[-0.192, 2.838]"
248,"[205.052, 154.274]","[0.914, 0.678]","[0.946, -1.546]"
249,"[141.28, 138.132]","[-0.349, 1.437]","[-0.272, 2.997]"
250,"[201.373, 182.896]","[0.817, 1.266]","[0.597, -2.525]"
251,"[194.883, 173.913]","[-0.935, -0.123]","[1.855, -1.263]"
252,"[153.999, 129.088]","[1.096, -0.683]","[-3.0, 0.032]"
253,"[190.075, 154.103]","[-1.569, -0.08]","[-0.125, 1.954]"
254,"[188.307, 183.404]","[0.864, 0.15]","[-1.339, 1.748]"
255,"[229.266, 178.212]","[1.205, 1.253]","[-1.882, 1.125]"
256,"[196.996, 118.492]","[0.64, 2.135]","[0.987, -2.39]"
257,"[226.804, 105.765]","[-0.058, -1.187]","[-2.676, 2.964]"
258,"[248.946, 178.044]","[-1.265, -1.42]","[-1.515, 1.859]"
259,"[202.582, 180.417]","[0.095, 0.293]","[0.366, -2.38]"
260,"[199.396, 189.135]","[0.283, 0.628]","[0.501, -2.538]"
261,"[331.01, 125.682]","[-1.561, -1.049]","[-1.092, 1.201]"
262,"[305.347, 139.081]","[0.907, 0.85]","[2.664, -0.714]"
263,"[231.937, 161.994]","[-0.021, 0.724]","[3.038, -0.597]"
264,"[123.915, 95.052]","[0.963, -1.522]","[1.513, -1.581]"
265,"[220.451, 165.837]","[-1.136, -0.51]","[0.047, -2.85]"
266,"[237.328, 171.17]","[-1.858, -1.763]","[1.612, -1.255]"
267,"[186.275, 111.091]","[-1.56, 0.104]","[-2.878, 0.252]"
268,"[198.515, 168.485]","[0.906, 1.825]","[1.642, -1.695]"
269,"[132.542, 68.224]","[-0.813, -0.061]","[-0.73, 1.224]"
270,"[201.49, 182.141]","[-1.46, -0.801]","[-1.907, 1.002]"
271,"[93.536, 87.539]","[-1.949, 0.996]","[-2.121, 1.694]"
272,"[126.385, 108.228]","[-0.142, -2.224]","[0.195, -2.771]"
273,"[203.172, 181.755]","[-0.501, 0.033]","[-1.811, 1.259]"
274,"[182.525, 179.115]","[-1.814, -0.841]","[-0.199, -2.917]"
275,"[212.389, 162.22]","[0.322, 1.686]","[1.598, -1.115]"
276,"[257.816, 144.655]","[-0.119, 0.435]","[1.239, -1.27]"
277,"[211.377, 186.285]","[-0.325, -0.256]","[2.423, -0.677]"
278,"[441.014, 50.982]","[0.565, -1.171]","[-1.496, 1.162]"
279,"[192.008, 188.942]","[-0.684, 0.114]","[2.946, -0.315]"
280,"[208.93, 201.712]","[0.65, 0.05]","[-0.629, 2.767]"
281,"[196.468, 189.6]","[-0.47, 0.042]","[-1.027, 2.778]"
282,"[191.394, 173.581]","[-1.515, -1.532]","[3.093, -0.077]"
283,"[159.113, 28.762]","[0.923, 1.677]","[1.659, -3.061]"
284,"[210.804, 173.714]","[-0.184, 0.573]","[-2.632, 0.424]"
285,"[252.365, 119.889]","[-1.602, -0.676]","[2.589, -0.18]"
286,"[212.702, 187.542]","[-0.109, -0.301]","[1.198, -2.052]"
287,"[207.167, 185.677]","[-0.395, 0.008]","[-0.134, -3.131]"
288,"[205.375, 193.542]","[0.646, 0.86]","[1.101, -2.085]"
