,Momenta,Eta,Phi
197,"[509.688, 506.749]","[-0.34, -0.662]","[1.89, -1.227]"
198,"[1067.574, 1056.019]","[0.267, 0.502]","[-0.118, 3.023]"
199,"[408.506, 370.699]","[0.406, -1.278]","[0.945, -2.309]"
200,"[470.297, 466.675]","[1.045, 0.261]","[-1.402, 1.597]"
201,"[414.684, 410.494]","[-0.266, 0.332]","[2.932, -0.144]"
202,"[450.784, 440.333]","[0.316, 0.945]","[1.01, -2.194]"
203,"[382.076, 373.462]","[0.496, -1.277]","[1.361, -1.705]"
204,"[439.861, 432.412]","[-1.184, -2.365]","[2.274, -0.866]"
205,"[262.221, 254.082]","[1.279, -1.573]","[0.886, -2.807]"
206,"[345.58, 338.99]","[1.864, -0.823]","[0.919, -2.215]"
207,"[456.186, 443.318]","[1.599, 0.709]","[1.412, -1.737]"
208,"[532.139, 485.524]","[0.446, 1.752]","[2.94, -0.174]"
209,"[674.67, 661.09]","[0.32, -1.404]","[-2.143, 0.991]"
210,"[522.932, 368.194]","[0.169, 0.758]","[0.367, -2.808]"
211,"[460.338, 455.748]","[0.83, 1.449]","[0.243, -2.877]"
212,"[445.065, 385.767]","[-0.652, 0.289]","[-1.918, 1.013]"
213,"[1085.695, 1077.075]","[-0.249, 0.221]","[1.442, -1.745]"
214,"[404.671, 339.02]","[0.392, 2.269]","[-2.274, 1.114]"
215,"[481.534, 460.492]","[-0.666, -1.68]","[-2.235, 0.903]"
216,"[616.688, 311.011]","[-0.456, -1.709]","[-2.313, 0.784]"
217,"[456.053, 400.765]","[0.947, -0.34]","[-2.843, 0.968]"
218,"[565.292, 563.786]","[-0.953, -0.038]","[-2.175, 0.95]"
219,"[495.485, 450.952]","[-1.157, -0.874]","[-0.442, 2.791]"
220,"[460.73, 446.012]","[0.38, 0.483]","[0.986, -2.244]"
221,"[189.535, 148.765]","[-1.74, 1.559]","[-2.316, 0.913]"
222,"[418.889, 375.07]","[-0.379, 1.119]","[-0.059, -3.093]"
223,"[431.91, 321.278]","[0.036, 2.306]","[2.188, -1.338]"
224,"[349.035, 344.376]","[1.047, -0.906]","[-2.747, 0.34]"
225,"[352.853, 287.656]","[1.553, -0.353]","[0.27, -2.826]"
