,Momenta 1,Momenta 2,Eta 1,Eta 2,Phi 1,Phi 2
411,415.624,409.065,0.043,0.241,1.148,-1.983
412,334.337,333.909,0.006,1.544,2.411,-0.784
413,276.442,270.951,0.167,1.921,1.815,-1.39
414,273.616,191.374,-0.13,2.243,-1.729,1.19
415,331.788,315.274,1.394,1.453,-2.012,1.122
416,110.435,107.953,-2.35,1.513,1.342,-2.23
417,401.397,349.122,0.87,0.419,-0.114,3.131
418,532.985,505.036,-0.466,-1.039,1.646,-1.519
419,354.544,305.5,1.008,0.527,2.956,-0.105
420,92.463,71.604,-1.909,2.356,1.917,-0.227
421,383.38,316.055,2.045,1.723,-3.01,0.086
422,813.158,787.863,-0.885,-1.036,0.077,-2.971
423,346.806,339.525,1.258,0.834,-2.78,0.352
424,377.3,365.912,0.629,-0.764,0.224,-2.964
425,455.393,437.902,-0.215,0.605,1.259,-1.888
426,453.538,443.547,0.563,-0.514,-1.905,1.205
427,520.734,454.533,0.791,0.099,2.744,-0.41
428,703.7,664.577,-0.437,-0.354,0.385,-2.641
429,322.145,283.567,2.435,1.237,-0.042,3.001
430,321.97,307.332,0.532,1.074,2.681,-0.405
431,355.141,348.049,-1.907,-1.164,-1.777,1.452
432,518.919,518.25,0.973,0.608,0.532,-2.614
433,468.576,454.902,1.209,1.012,-2.179,0.906
434,352.016,318.227,1.773,1.283,-0.472,2.558
435,311.737,308.897,1.079,2.33,0.654,-2.402
436,358.006,349.053,-1.679,-0.327,-1.926,1.191
437,380.614,300.999,1.714,2.096,0.207,2.96
438,328.992,293.534,-0.475,-0.12,-3.022,0.063
439,323.063,277.71,-0.312,-1.302,2.814,-0.435
440,234.699,187.469,-1.138,1.14,-1.632,1.537
441,383.505,312.72,1.477,0.313,2.603,-0.636
442,368.793,367.681,-1.565,-0.817,-1.973,1.28
443,294.539,294.051,1.502,0.344,2.623,-0.515
444,675.033,578.391,-0.229,0.068,-1.92,1.257
445,262.564,250.477,-1.295,0.43,0.349,-3.012
446,253.019,235.88,-0.746,-2.482,-0.857,2.519
447,372.88,355.373,0.023,0.359,-0.76,2.231
448,364.656,337.997,0.053,-1.285,-0.017,-3.128
449,267.99,204.246,0.154,-1.785,2.987,0.268
450,322.838,321.353,0.601,0.776,-3.08,0.009
451,236.016,231.327,0.403,2.127,1.105,-2.047
452,333.362,321.796,0.012,-1.892,-0.519,2.619
453,292.601,274.39,1.178,-0.608,0.608,-2.811
454,376.004,363.528,-0.474,1.063,-1.39,1.618
455,426.112,422.691,0.26,-1.126,-0.259,2.868
456,475.654,461.259,1.119,1.117,0.875,-2.279
457,514.629,316.866,-0.186,1.296,1.087,-1.85
458,336.515,334.496,0.394,0.771,-2.262,1.142
459,391.171,57.973,0.121,-0.917,-1.873,0.665
460,416.394,397.788,-0.716,-0.101,2.15,-0.947
461,159.334,121.33,-1.778,1.537,2.862,-0.414
462,279.972,261.299,-0.556,1.068,0.07,3.054
463,227.196,212.011,0.762,-1.274,-1.424,1.731
