,Momenta 1,Momenta 2,Eta 1,Eta 2,Phi 1,Phi 2
177,361.414,319.285,-0.615,-1.48,-3.092,0.319
178,380.258,322.824,-0.981,-0.661,1.707,-1.563
179,380.64,348.697,-1.139,-1.401,1.409,-1.651
180,436.866,250.901,-0.313,0.492,-3.113,0.231
181,397.719,353.737,-0.586,-0.357,-1.209,2.292
182,408.507,321.994,0.151,-0.504,0.622,-2.749
183,492.93,358.687,-1.439,-0.361,-1.701,1.817
184,339.01,276.286,0.199,1.503,-0.514,2.373
185,380.704,366.576,0.358,0.235,2.757,-0.45
186,369.578,329.996,0.933,0.203,-1.226,1.776
187,452.036,236.665,1.343,0.19,1.973,-1.705
188,508.315,322.33,0.158,-0.488,2.532,-1.61
189,432.09,286.742,-1.594,-2.258,2.356,-1.162
190,349.744,265.752,0.527,-0.886,-1.358,1.773
191,365.35,300.043,-0.743,0.345,3.024,0.363
192,705.487,684.94,0.102,-0.477,-0.136,-1.101
193,226.858,180.998,-1.694,0.767,2.231,-0.839
194,213.924,178.453,1.16,-1.412,0.484,3.042
195,402.89,345.655,1.103,0.652,-3.088,0.633
196,449.728,317.958,-1.026,-0.453,0.877,-2.854
197,374.947,370.734,0.104,0.486,3.126,-0.012
198,238.495,222.5,-1.233,0.882,-0.707,2.275
199,498.404,202.909,-0.505,0.723,1.063,-1.621
200,421.968,290.892,-0.184,-0.133,-2.141,1.331
201,384.846,370.838,-0.722,-0.991,-1.39,1.833
202,316.384,313.379,-1.533,-0.422,-0.16,2.986
203,464.559,357.722,0.658,0.833,1.278,-2.709
204,347.482,238.741,-1.049,0.456,-1.107,1.99
205,263.485,238.505,-1.06,0.836,-1.334,1.687
206,378.405,358.6,-0.883,-0.202,2.544,-0.599
207,379.338,366.91,-0.875,-0.964,1.627,-1.5
208,379.021,329.171,-1.076,-1.708,1.022,-2.277
209,364.05,361.093,0.216,1.333,-1.769,2.338
210,357.435,353.834,-2.218,-1.554,-2.699,0.164
211,739.051,248.855,0.669,-0.766,-2.351,-1.182
212,367.125,353.137,-1.214,0.005,-3.072,0.16
213,376.666,363.222,-1.857,-1.649,-0.865,2.269
214,510.115,321.056,-0.088,-0.175,-2.127,1.81
215,362.352,274.947,0.4,-0.401,1.781,-0.957
216,275.184,250.321,1.553,-0.052,3.066,-0.203
217,348.451,297.769,0.74,-0.384,-1.539,1.796
218,362.125,359.811,-0.242,-0.783,0.586,-2.414
219,378.328,270.324,-0.684,-1.8,-0.572,2.395
220,338.441,180.764,0.503,-1.525,-3.024,-0.57
221,551.465,255.501,-0.654,-0.85,-2.894,0.002
222,383.152,315.669,-0.545,-1.32,-1.589,1.423
223,382.944,365.487,0.195,0.068,1.463,-1.574
224,303.054,288.654,-0.527,0.899,-1.305,1.863
225,347.417,347.284,0.823,0.02,2.748,-0.569
226,469.991,423.384,-1.621,-1.158,0.619,2.433
227,414.203,326.655,1.737,2.168,1.129,-2.167
228,506.229,224.046,-1.207,-0.141,1.078,-2.633
229,390.864,356.027,-1.052,-0.963,1.789,-1.436
230,387.355,263.945,-0.441,0.746,-1.097,1.991
231,365.181,356.845,-1.271,-0.706,-1.448,1.542
232,485.38,201.872,1.491,0.21,-2.589,0.282
233,400.02,242.566,-0.576,-1.882,-1.781,0.822
234,340.205,338.014,0.306,-0.684,-1.207,1.946
235,402.14,328.868,1.136,0.765,-1.623,1.552
236,817.683,424.06,0.419,-0.372,-2.27,2.964
237,365.326,344.108,-0.324,0.303,2.282,-0.865
238,290.544,282.034,-1.125,0.069,-0.509,2.757
239,387.91,355.756,0.755,0.495,-1.869,1.308
240,259.826,179.816,0.198,1.606,2.879,0.431
241,465.738,282.49,-0.068,-0.715,-1.466,1.417
242,415.159,352.179,1.136,0.899,-0.0,-2.846
243,266.659,242.796,-0.003,1.86,-1.184,1.929
244,379.564,375.106,0.319,0.522,-2.914,0.081
245,387.247,326.892,0.564,1.203,2.167,-0.867
246,307.427,234.527,0.861,-0.887,-0.392,2.513
247,398.221,234.323,0.322,-1.255,-1.08,-2.966
248,375.251,362.624,0.26,0.62,-1.236,1.867
249,265.076,184.024,-0.903,-1.009,-2.559,1.435
250,379.494,347.384,-0.56,-1.104,1.565,-1.528
251,431.683,332.786,-0.902,-0.923,0.378,-3.12
252,352.188,144.063,0.671,-0.27,-1.933,1.116
253,375.386,335.001,1.099,1.749,-1.028,2.24
254,243.554,171.834,-0.375,2.21,-2.356,0.515
255,321.609,283.26,-0.18,-1.589,0.761,-2.414
256,412.47,330.102,1.445,0.795,2.029,-0.856
257,160.9,158.223,1.602,-1.416,-0.71,2.299
258,267.545,241.694,0.855,-0.443,-1.256,1.671
259,385.251,364.99,-0.354,0.062,-2.291,0.998
260,380.883,349.454,-0.919,-0.389,-1.455,1.451
261,448.745,342.71,-1.268,-1.019,-2.117,1.746
262,348.391,274.011,-1.153,0.157,2.233,-1.001
263,532.676,287.203,0.552,0.71,-1.249,2.412
264,343.403,303.911,1.29,0.122,-0.164,2.679
265,390.554,363.377,-1.352,-1.085,2.744,-0.518
266,431.412,327.076,-0.987,-1.078,1.282,-1.906
267,385.505,372.172,0.566,0.404,-1.932,1.264
268,403.755,340.749,0.864,0.637,1.309,-1.865
269,385.597,351.739,-1.242,-0.676,-1.012,2.025
270,385.074,339.688,0.558,0.125,0.601,-2.544
271,440.763,334.031,0.82,0.408,-0.201,2.699
272,325.664,313.544,-0.01,-1.213,3.029,-0.192
273,388.829,319.405,-1.313,-0.468,1.88,-1.313
274,322.712,320.486,-0.682,0.435,1.456,-1.91
275,407.042,336.196,-0.762,0.183,2.852,-1.204
276,248.602,196.131,-0.233,1.969,-2.354,0.612
277,368.684,317.703,2.297,1.235,2.707,-1.147
278,449.853,316.886,1.139,1.396,-2.87,0.315
279,451.549,304.031,-0.382,0.136,-0.53,3.077
280,354.244,333.477,0.477,-0.478,2.663,-0.057
281,368.459,362.326,1.702,1.283,-0.16,2.967
282,384.057,349.359,0.799,0.675,0.818,-2.262
283,405.676,356.727,-0.251,-0.302,-2.326,0.748
284,385.263,333.554,-1.067,-0.242,-2.228,0.992
285,312.599,302.877,-0.063,1.462,0.999,-2.131
286,308.187,264.018,0.345,1.932,-3.072,0.043
287,388.776,312.015,0.983,-0.002,-1.247,2.256
288,379.641,333.926,0.059,-0.645,2.109,-0.69
289,319.958,285.456,-0.034,1.275,1.723,-1.402
290,382.473,368.058,1.188,0.851,-0.472,2.803
291,260.612,254.251,-0.159,-1.849,0.09,-2.994
292,436.792,226.315,0.059,-0.947,-2.527,1.075
293,360.514,306.77,-1.558,-0.518,3.027,0.346
294,277.146,261.068,0.02,1.69,0.083,-2.73
295,335.423,333.883,-0.213,-0.832,0.455,-2.826
296,376.486,366.17,-1.241,-0.815,-0.173,2.96
297,369.486,299.62,-1.089,-0.081,-2.099,1.156
298,345.281,343.133,-1.551,-0.738,2.783,-0.36
299,379.053,376.04,-0.986,-1.019,0.814,-2.417
300,344.499,289.962,-0.548,0.897,1.305,-1.507
301,418.117,233.166,0.555,1.81,-2.021,1.026
302,527.119,153.801,0.805,2.382,-1.247,1.304
303,389.446,284.005,1.431,0.329,1.581,-1.614
304,422.994,362.127,0.962,1.185,-2.592,-0.105
305,422.687,313.908,1.852,1.458,3.042,-0.15
306,1017.703,209.062,0.267,-0.092,-3.141,-1.304
307,434.633,335.918,-0.186,0.181,1.343,-1.234
308,147.465,132.926,1.292,-1.984,2.974,-0.137
309,320.61,315.033,0.145,-0.894,1.247,-2.01
310,296.784,289.444,0.388,-1.172,2.816,0.044
311,347.873,238.708,-0.458,0.977,0.827,-2.383
312,416.56,313.507,0.579,0.956,2.78,-0.383
313,443.567,286.564,-0.257,-0.923,1.215,-1.712
314,380.78,368.163,1.159,1.042,-0.696,2.571
315,674.679,245.651,-0.314,0.061,0.945,-1.738
316,120.306,104.99,2.297,-1.443,1.741,-1.309
317,382.692,348.57,-1.054,-0.694,-2.901,0.285
318,551.225,336.542,0.464,1.06,2.137,-2.242
319,224.617,220.207,1.006,-1.212,0.448,-2.561
320,405.877,315.237,1.604,1.848,2.948,0.252
321,395.392,358.955,1.294,1.238,2.139,-0.862
322,215.323,211.939,-0.957,1.373,-1.671,2.081
323,371.57,333.93,-0.048,0.529,2.532,-0.519
324,305.447,252.659,-1.946,-0.177,2.514,-1.498
325,382.071,354.252,0.082,0.471,0.48,-2.636
326,380.282,333.829,0.565,-0.119,-1.891,1.336
327,375.103,285.589,0.699,-0.364,0.042,2.995
328,1084.403,184.753,-0.102,1.11,2.815,-2.343
329,369.098,365.764,-0.47,-0.117,1.299,-2.143
330,353.919,351.731,0.369,-0.885,0.936,-2.075
331,371.145,371.017,-2.172,-1.947,0.125,-2.914
332,310.295,308.991,0.483,-0.761,2.478,-0.656
333,371.61,362.854,-1.583,-1.137,0.652,-2.475
334,285.114,270.672,-1.686,-0.143,0.913,-2.395
335,421.421,316.231,-0.806,-1.331,-2.354,0.579
336,390.844,383.325,0.194,0.062,-0.97,2.15
337,377.418,361.186,1.069,0.831,0.744,-2.592
338,356.748,356.078,-1.679,-0.973,1.641,-1.759
339,409.833,348.497,1.573,2.048,-1.52,1.511
340,290.229,259.25,-1.352,0.404,-0.056,3.098
341,338.339,309.975,-1.478,-0.387,-0.61,2.433
342,385.604,306.848,-1.287,-0.495,-2.942,-0.07
343,353.687,342.357,-1.027,0.178,1.022,-2.027
344,338.18,319.515,0.338,-0.712,-1.608,1.617
345,619.988,246.99,-0.466,0.563,0.341,-1.467
346,433.143,214.169,0.092,-1.147,0.774,-1.97
347,616.798,222.349,-0.253,0.076,1.231,-2.111
348,314.605,313.033,0.981,2.031,1.716,-1.692
349,403.787,237.376,-0.212,0.905,-1.223,2.446
350,356.704,347.726,-0.217,-0.929,1.72,-1.392
351,373.141,362.98,-1.719,-1.665,-1.227,1.893
352,407.467,359.9,-0.346,-0.765,-2.791,0.824
353,392.945,359.295,-0.514,-0.5,-0.893,2.285
354,311.285,272.822,-1.435,-0.011,2.584,-0.666
355,403.514,285.567,-0.529,0.099,-2.204,1.019
356,324.681,318.185,-1.115,0.073,2.105,-1.042
357,241.365,223.724,-0.678,1.474,-2.285,0.326
358,365.616,364.455,-1.783,-2.032,-0.088,2.882
359,373.072,259.615,-0.72,0.523,1.135,-1.964
360,336.93,285.527,1.37,0.158,0.304,-2.945
361,365.302,354.091,-0.747,0.322,2.206,-0.969
362,388.37,285.052,-0.472,0.282,-0.669,2.806
363,302.596,163.15,1.476,-0.762,0.487,2.918
364,373.14,228.0,-0.268,-1.098,2.235,-0.757
365,331.022,234.0,1.086,-0.583,0.906,-2.183
366,269.131,241.401,-1.838,0.012,1.395,-1.518
367,393.569,281.111,-0.88,-1.927,2.671,-0.429
368,557.194,258.782,0.131,0.091,3.123,-0.201
369,322.871,118.769,0.98,-1.545,-0.194,2.772
370,399.513,293.505,-0.383,0.646,-0.968,2.751
371,326.42,287.03,1.215,-0.269,0.095,-2.991
372,387.348,367.565,0.01,-0.109,-0.442,2.785
373,349.204,292.461,-1.992,-0.772,-1.922,1.078
374,369.174,367.803,0.584,1.158,-0.285,2.362
375,403.454,303.946,1.428,1.106,-1.486,1.439
376,632.921,231.596,0.856,0.296,-0.992,1.524
377,291.159,205.587,0.689,-1.307,-1.108,1.383
378,399.348,338.289,0.981,0.871,-1.963,1.149
379,388.576,347.013,1.255,0.941,0.592,-2.55
380,354.805,344.907,-0.742,-0.016,-1.691,1.354
381,442.727,320.392,0.482,0.381,2.541,-0.946
382,388.927,335.727,0.226,-0.119,-0.081,-3.116
383,484.646,308.981,0.647,0.196,-0.034,2.849
384,278.282,253.757,0.495,-1.25,-0.074,2.936
385,297.68,294.962,2.294,0.766,-2.694,0.902
386,396.33,347.434,0.234,0.21,2.369,-0.877
387,257.113,165.579,-1.875,0.544,-0.35,3.029
388,502.1,259.638,0.269,1.029,0.703,-2.187
389,362.512,321.254,-0.832,0.181,2.411,-1.132
390,672.982,605.092,-1.283,-0.224,-0.437,0.006
391,396.883,289.734,0.738,1.691,0.629,-2.748
392,438.034,309.605,-0.139,-0.526,2.379,-0.975
393,439.429,296.658,0.609,0.812,-2.001,1.216
394,381.668,364.065,0.796,1.159,-1.402,1.912
395,413.212,306.213,0.466,1.11,2.589,-0.42
396,400.167,331.855,1.135,0.482,2.935,-0.665
397,406.632,364.992,-0.645,-0.637,2.444,-0.638
398,276.069,267.212,0.555,-1.139,-0.204,3.047
399,318.155,268.392,-0.348,1.148,0.624,-2.897
400,374.41,369.969,-0.623,-0.346,-0.723,2.441
